--- <out-dir-10>/server_P10cgs_1.log
(APIServer pid=306685) INFO 09-12 07:34:19 [loggers.py:310] Engine 000: Avg prompt throughput: 107.8 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 8 reqs, Waiting: 52 reqs, GPU KV cache usage: 29.8%, Prefix cache hit rate: 0.0%
(APIServer pid=306685) INFO 09-12 07:34:29 [loggers.py:310] Engine 000: Avg prompt throughput: 2690.9 tokens/s, Avg generation throughput: 274.1 tokens/s, Running: 26 reqs, Waiting: 34 reqs, GPU KV cache usage: 96.8%, Prefix cache hit rate: 0.0%
(APIServer pid=306685) INFO 09-12 07:34:39 [loggers.py:310] Engine 000: Avg prompt throughput: 1076.5 tokens/s, Avg generation throughput: 379.5 tokens/s, Running: 24 reqs, Waiting: 33 reqs, GPU KV cache usage: 89.4%, Prefix cache hit rate: 0.0%
(APIServer pid=306685) INFO 09-12 07:34:49 [loggers.py:310] Engine 000: Avg prompt throughput: 1721.7 tokens/s, Avg generation throughput: 345.3 tokens/s, Running: 26 reqs, Waiting: 34 reqs, GPU KV cache usage: 96.8%, Prefix cache hit rate: 0.0%
(APIServer pid=306685) INFO 09-12 07:34:59 [loggers.py:310] Engine 000: Avg prompt throughput: 1399.4 tokens/s, Avg generation throughput: 334.0 tokens/s, Running: 26 reqs, Waiting: 31 reqs, GPU KV cache usage: 96.8%, Prefix cache hit rate: 0.0%
(APIServer pid=306685) INFO 09-12 07:35:09 [loggers.py:310] Engine 000: Avg prompt throughput: 1399.2 tokens/s, Avg generation throughput: 405.1 tokens/s, Running: 26 reqs, Waiting: 34 reqs, GPU KV cache usage: 96.8%, Prefix cache hit rate: 0.0%
(APIServer pid=306685) INFO 09-12 07:35:19 [loggers.py:310] Engine 000: Avg prompt throughput: 1722.2 tokens/s, Avg generation throughput: 281.7 tokens/s, Running: 26 reqs, Waiting: 25 reqs, GPU KV cache usage: 96.8%, Prefix cache hit rate: 0.0%
(APIServer pid=306685) INFO 09-12 07:35:29 [loggers.py:310] Engine 000: Avg prompt throughput: 1076.1 tokens/s, Avg generation throughput: 434.0 tokens/s, Running: 26 reqs, Waiting: 16 reqs, GPU KV cache usage: 96.8%, Prefix cache hit rate: 0.0%
(APIServer pid=306685) INFO 09-12 07:35:39 [loggers.py:310] Engine 000: Avg prompt throughput: 1722.2 tokens/s, Avg generation throughput: 291.0 tokens/s, Running: 18 reqs, Waiting: 0 reqs, GPU KV cache usage: 67.0%, Prefix cache hit rate: 0.0%
(APIServer pid=306685) INFO 09-12 07:35:49 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 327.1 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=306685) INFO 09-12 07:35:59 [loggers.py:310] Engine 000: Avg prompt throughput: 107.7 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 8 reqs, Waiting: 16 reqs, GPU KV cache usage: 29.8%, Prefix cache hit rate: 0.0%
