(APIServer pid=76566) INFO 09-11 04:26:31 [loggers.py:310] Engine 000: Avg prompt throughput: 1829.9 tokens/s, Avg generation throughput: 225.3 tokens/s, Running: 17 reqs, Waiting: 31 reqs, GPU KV cache usage: 96.0%, Prefix cache hit rate: 0.0%
(APIServer pid=76566) INFO 09-11 04:26:41 [loggers.py:310] Engine 000: Avg prompt throughput: 1614.7 tokens/s, Avg generation throughput: 262.0 tokens/s, Running: 16 reqs, Waiting: 31 reqs, GPU KV cache usage: 90.4%, Prefix cache hit rate: 0.0%
(APIServer pid=76566) INFO 09-11 04:26:51 [loggers.py:310] Engine 000: Avg prompt throughput: 861.1 tokens/s, Avg generation throughput: 370.2 tokens/s, Running: 16 reqs, Waiting: 31 reqs, GPU KV cache usage: 90.4%, Prefix cache hit rate: 0.0%
(APIServer pid=76566) INFO 09-11 04:27:01 [loggers.py:310] Engine 000: Avg prompt throughput: 1398.7 tokens/s, Avg generation throughput: 315.3 tokens/s, Running: 17 reqs, Waiting: 31 reqs, GPU KV cache usage: 96.0%, Prefix cache hit rate: 0.0%
(APIServer pid=76566) INFO 09-11 04:27:11 [loggers.py:310] Engine 000: Avg prompt throughput: 1614.3 tokens/s, Avg generation throughput: 263.6 tokens/s, Running: 17 reqs, Waiting: 28 reqs, GPU KV cache usage: 96.0%, Prefix cache hit rate: 0.0%
(APIServer pid=76566) INFO 09-11 04:27:21 [loggers.py:310] Engine 000: Avg prompt throughput: 1076.4 tokens/s, Avg generation throughput: 337.5 tokens/s, Running: 17 reqs, Waiting: 17 reqs, GPU KV cache usage: 96.0%, Prefix cache hit rate: 0.0%
(APIServer pid=76566) INFO 09-11 04:27:31 [loggers.py:310] Engine 000: Avg prompt throughput: 1183.9 tokens/s, Avg generation throughput: 333.7 tokens/s, Running: 16 reqs, Waiting: 7 reqs, GPU KV cache usage: 90.4%, Prefix cache hit rate: 0.0%
(APIServer pid=76566) INFO 09-11 04:27:41 [loggers.py:310] Engine 000: Avg prompt throughput: 753.4 tokens/s, Avg generation throughput: 330.5 tokens/s, Running: 5 reqs, Waiting: 0 reqs, GPU KV cache usage: 28.2%, Prefix cache hit rate: 0.0%
(APIServer pid=76566) INFO 09-11 04:27:51 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 19.5 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=76566) INFO 09-11 04:28:01 [loggers.py:310] Engine 000: Avg prompt throughput: 1722.0 tokens/s, Avg generation throughput: 121.7 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 90.4%, Prefix cache hit rate: 0.0%
(APIServer pid=76566) INFO 09-11 04:28:11 [loggers.py:310] Engine 000: Avg prompt throughput: 1184.0 tokens/s, Avg generation throughput: 319.3 tokens/s, Running: 15 reqs, Waiting: 0 reqs, GPU KV cache usage: 84.7%, Prefix cache hit rate: 0.0%
(APIServer pid=76566) INFO 09-11 04:28:21 [loggers.py:310] Engine 000: Avg prompt throughput: 968.9 tokens/s, Avg generation throughput: 357.7 tokens/s, Running: 14 reqs, Waiting: 0 reqs, GPU KV cache usage: 79.1%, Prefix cache hit rate: 0.0%
(APIServer pid=76566) INFO 09-11 04:28:31 [loggers.py:310] Engine 000: Avg prompt throughput: 1291.4 tokens/s, Avg generation throughput: 306.2 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 90.4%, Prefix cache hit rate: 0.0%
(APIServer pid=76566) INFO 09-11 04:28:41 [loggers.py:310] Engine 000: Avg prompt throughput: 1614.3 tokens/s, Avg generation throughput: 258.7 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 90.4%, Prefix cache hit rate: 0.0%
(APIServer pid=76566) INFO 09-11 04:28:51 [loggers.py:310] Engine 000: Avg prompt throughput: 1291.5 tokens/s, Avg generation throughput: 300.4 tokens/s, Running: 15 reqs, Waiting: 0 reqs, GPU KV cache usage: 84.7%, Prefix cache hit rate: 0.0%
(APIServer pid=76566) INFO 09-11 04:29:01 [loggers.py:310] Engine 000: Avg prompt throughput: 1076.3 tokens/s, Avg generation throughput: 338.8 tokens/s, Running: 15 reqs, Waiting: 0 reqs, GPU KV cache usage: 84.7%, Prefix cache hit rate: 0.0%
(APIServer pid=76566) INFO 09-11 04:29:11 [loggers.py:310] Engine 000: Avg prompt throughput: 1184.2 tokens/s, Avg generation throughput: 345.6 tokens/s, Running: 14 reqs, Waiting: 0 reqs, GPU KV cache usage: 79.1%, Prefix cache hit rate: 0.0%
