(APIServer pid=70796) INFO 09-11 02:10:38 [loggers.py:310] Engine 000: Avg prompt throughput: 1506.8 tokens/s, Avg generation throughput: 10.5 tokens/s, Running: 15 reqs, Waiting: 33 reqs, GPU KV cache usage: 30.2%, Prefix cache hit rate: 0.0%
(APIServer pid=70796) INFO 09-11 02:10:48 [loggers.py:310] Engine 000: Avg prompt throughput: 2906.5 tokens/s, Avg generation throughput: 75.6 tokens/s, Running: 42 reqs, Waiting: 6 reqs, GPU KV cache usage: 84.4%, Prefix cache hit rate: 0.0%
(APIServer pid=70796) INFO 09-11 02:10:58 [loggers.py:310] Engine 000: Avg prompt throughput: 753.3 tokens/s, Avg generation throughput: 535.5 tokens/s, Running: 48 reqs, Waiting: 0 reqs, GPU KV cache usage: 96.5%, Prefix cache hit rate: 0.0%
(APIServer pid=70796) INFO 09-11 02:11:08 [loggers.py:310] Engine 000: Avg prompt throughput: 538.0 tokens/s, Avg generation throughput: 526.7 tokens/s, Running: 46 reqs, Waiting: 0 reqs, GPU KV cache usage: 92.5%, Prefix cache hit rate: 0.0%
(APIServer pid=70796) INFO 09-11 02:11:18 [loggers.py:310] Engine 000: Avg prompt throughput: 2798.7 tokens/s, Avg generation throughput: 119.6 tokens/s, Running: 46 reqs, Waiting: 0 reqs, GPU KV cache usage: 92.5%, Prefix cache hit rate: 0.0%
(APIServer pid=70796) INFO 09-11 02:11:28 [loggers.py:310] Engine 000: Avg prompt throughput: 1829.5 tokens/s, Avg generation throughput: 323.2 tokens/s, Running: 48 reqs, Waiting: 0 reqs, GPU KV cache usage: 96.5%, Prefix cache hit rate: 0.0%
(APIServer pid=70796) INFO 09-11 02:11:38 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 662.4 tokens/s, Running: 48 reqs, Waiting: 0 reqs, GPU KV cache usage: 96.5%, Prefix cache hit rate: 0.0%
(APIServer pid=70796) INFO 09-11 02:11:48 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 204.0 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=70796) INFO 09-11 02:11:58 [loggers.py:310] Engine 000: Avg prompt throughput: 1722.1 tokens/s, Avg generation throughput: 31.2 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 32.2%, Prefix cache hit rate: 0.0%
(APIServer pid=70796) INFO 09-11 02:12:08 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 305.6 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 32.2%, Prefix cache hit rate: 0.0%
(APIServer pid=70796) INFO 09-11 02:12:18 [loggers.py:310] Engine 000: Avg prompt throughput: 1722.3 tokens/s, Avg generation throughput: 147.2 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 32.2%, Prefix cache hit rate: 0.0%
(APIServer pid=70796) INFO 09-11 02:12:28 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 307.2 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 32.2%, Prefix cache hit rate: 0.0%
(APIServer pid=70796) INFO 09-11 02:12:38 [loggers.py:310] Engine 000: Avg prompt throughput: 1721.9 tokens/s, Avg generation throughput: 147.2 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 32.2%, Prefix cache hit rate: 0.0%
(APIServer pid=70796) INFO 09-11 02:12:48 [loggers.py:310] Engine 000: Avg prompt throughput: 107.6 tokens/s, Avg generation throughput: 282.7 tokens/s, Running: 14 reqs, Waiting: 0 reqs, GPU KV cache usage: 28.1%, Prefix cache hit rate: 0.0%
(APIServer pid=70796) INFO 09-11 02:12:58 [loggers.py:310] Engine 000: Avg prompt throughput: 1614.1 tokens/s, Avg generation throughput: 171.7 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 32.2%, Prefix cache hit rate: 0.0%
(APIServer pid=70796) INFO 09-11 02:13:08 [loggers.py:310] Engine 000: Avg prompt throughput: 538.2 tokens/s, Avg generation throughput: 243.5 tokens/s, Running: 14 reqs, Waiting: 0 reqs, GPU KV cache usage: 28.1%, Prefix cache hit rate: 0.0%
(APIServer pid=70796) INFO 09-11 02:13:18 [loggers.py:310] Engine 000: Avg prompt throughput: 1184.1 tokens/s, Avg generation throughput: 209.3 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 32.2%, Prefix cache hit rate: 0.0%
(APIServer pid=70796) INFO 09-11 02:13:28 [loggers.py:310] Engine 000: Avg prompt throughput: 968.7 tokens/s, Avg generation throughput: 205.9 tokens/s, Running: 14 reqs, Waiting: 0 reqs, GPU KV cache usage: 28.1%, Prefix cache hit rate: 0.0%
(APIServer pid=70796) INFO 09-11 02:13:38 [loggers.py:310] Engine 000: Avg prompt throughput: 753.4 tokens/s, Avg generation throughput: 248.5 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 32.2%, Prefix cache hit rate: 0.0%
(APIServer pid=70796) INFO 09-11 02:13:48 [loggers.py:310] Engine 000: Avg prompt throughput: 6.3 tokens/s, Avg generation throughput: 166.4 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 2.0%, Prefix cache hit rate: 0.0%
