(APIServer pid=66893) INFO 09-11 01:51:02 [loggers.py:310] Engine 000: Avg prompt throughput: 1614.5 tokens/s, Avg generation throughput: 174.8 tokens/s, Running: 15 reqs, Waiting: 33 reqs, GPU KV cache usage: 95.9%, Prefix cache hit rate: 0.0%
(APIServer pid=66893) INFO 09-11 01:51:12 [loggers.py:310] Engine 000: Avg prompt throughput: 1399.3 tokens/s, Avg generation throughput: 250.9 tokens/s, Running: 14 reqs, Waiting: 32 reqs, GPU KV cache usage: 89.5%, Prefix cache hit rate: 0.0%
(APIServer pid=66893) INFO 09-11 01:51:22 [loggers.py:310] Engine 000: Avg prompt throughput: 1076.7 tokens/s, Avg generation throughput: 346.8 tokens/s, Running: 14 reqs, Waiting: 33 reqs, GPU KV cache usage: 89.5%, Prefix cache hit rate: 0.0%
(APIServer pid=66893) INFO 09-11 01:51:32 [loggers.py:310] Engine 000: Avg prompt throughput: 1076.1 tokens/s, Avg generation throughput: 329.5 tokens/s, Running: 14 reqs, Waiting: 33 reqs, GPU KV cache usage: 89.5%, Prefix cache hit rate: 0.0%
(APIServer pid=66893) INFO 09-11 01:51:42 [loggers.py:310] Engine 000: Avg prompt throughput: 1291.3 tokens/s, Avg generation throughput: 280.7 tokens/s, Running: 15 reqs, Waiting: 33 reqs, GPU KV cache usage: 95.9%, Prefix cache hit rate: 0.0%
(APIServer pid=66893) INFO 09-11 01:51:52 [loggers.py:310] Engine 000: Avg prompt throughput: 1507.0 tokens/s, Avg generation throughput: 252.7 tokens/s, Running: 14 reqs, Waiting: 22 reqs, GPU KV cache usage: 89.5%, Prefix cache hit rate: 0.0%
(APIServer pid=66893) INFO 09-11 01:52:02 [loggers.py:310] Engine 000: Avg prompt throughput: 1183.9 tokens/s, Avg generation throughput: 304.9 tokens/s, Running: 15 reqs, Waiting: 11 reqs, GPU KV cache usage: 95.9%, Prefix cache hit rate: 0.0%
(APIServer pid=66893) INFO 09-11 01:52:12 [loggers.py:310] Engine 000: Avg prompt throughput: 968.8 tokens/s, Avg generation throughput: 312.2 tokens/s, Running: 14 reqs, Waiting: 2 reqs, GPU KV cache usage: 89.5%, Prefix cache hit rate: 0.0%
(APIServer pid=66893) INFO 09-11 01:52:22 [loggers.py:310] Engine 000: Avg prompt throughput: 215.3 tokens/s, Avg generation throughput: 205.1 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=66893) INFO 09-11 01:52:32 [loggers.py:310] Engine 000: Avg prompt throughput: 753.5 tokens/s, Avg generation throughput: 3.2 tokens/s, Running: 9 reqs, Waiting: 7 reqs, GPU KV cache usage: 59.3%, Prefix cache hit rate: 0.0%
(APIServer pid=66893) INFO 09-11 01:52:42 [loggers.py:310] Engine 000: Avg prompt throughput: 968.8 tokens/s, Avg generation throughput: 333.3 tokens/s, Running: 14 reqs, Waiting: 1 reqs, GPU KV cache usage: 89.5%, Prefix cache hit rate: 0.0%
(APIServer pid=66893) INFO 09-11 01:52:52 [loggers.py:310] Engine 000: Avg prompt throughput: 1506.8 tokens/s, Avg generation throughput: 245.0 tokens/s, Running: 15 reqs, Waiting: 1 reqs, GPU KV cache usage: 95.9%, Prefix cache hit rate: 0.0%
(APIServer pid=66893) INFO 09-11 01:53:02 [loggers.py:310] Engine 000: Avg prompt throughput: 1614.5 tokens/s, Avg generation throughput: 236.4 tokens/s, Running: 15 reqs, Waiting: 1 reqs, GPU KV cache usage: 95.9%, Prefix cache hit rate: 0.0%
(APIServer pid=66893) INFO 09-11 01:53:12 [loggers.py:310] Engine 000: Avg prompt throughput: 860.8 tokens/s, Avg generation throughput: 352.6 tokens/s, Running: 13 reqs, Waiting: 1 reqs, GPU KV cache usage: 83.1%, Prefix cache hit rate: 0.0%
(APIServer pid=66893) INFO 09-11 01:53:22 [loggers.py:310] Engine 000: Avg prompt throughput: 968.7 tokens/s, Avg generation throughput: 314.7 tokens/s, Running: 15 reqs, Waiting: 0 reqs, GPU KV cache usage: 95.9%, Prefix cache hit rate: 0.0%
(APIServer pid=66893) INFO 09-11 01:53:32 [loggers.py:310] Engine 000: Avg prompt throughput: 1399.1 tokens/s, Avg generation throughput: 270.4 tokens/s, Running: 14 reqs, Waiting: 1 reqs, GPU KV cache usage: 89.5%, Prefix cache hit rate: 0.0%
(APIServer pid=66893) INFO 09-11 01:53:42 [loggers.py:310] Engine 000: Avg prompt throughput: 1506.8 tokens/s, Avg generation throughput: 242.7 tokens/s, Running: 15 reqs, Waiting: 1 reqs, GPU KV cache usage: 95.9%, Prefix cache hit rate: 0.0%
(APIServer pid=66893) INFO 09-11 01:53:52 [loggers.py:310] Engine 000: Avg prompt throughput: 753.5 tokens/s, Avg generation throughput: 347.9 tokens/s, Running: 9 reqs, Waiting: 0 reqs, GPU KV cache usage: 57.6%, Prefix cache hit rate: 0.0%
(APIServer pid=66893) INFO 09-11 01:54:02 [loggers.py:310] Engine 000: Avg prompt throughput: 12.9 tokens/s, Avg generation throughput: 128.9 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 5.8%, Prefix cache hit rate: 0.0%
(APIServer pid=66893) INFO 09-11 01:54:12 [loggers.py:310] Engine 000: Avg prompt throughput: 34.2 tokens/s, Avg generation throughput: 45.5 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 5.8%, Prefix cache hit rate: 0.0%
