(APIServer pid=80595) INFO 09-11 05:36:25 [loggers.py:310] Engine 000: Avg prompt throughput: 1829.7 tokens/s, Avg generation throughput: 158.2 tokens/s, Running: 17 reqs, Waiting: 31 reqs, GPU KV cache usage: 96.0%, Prefix cache hit rate: 0.0%
(APIServer pid=80595) INFO 09-11 05:36:35 [loggers.py:310] Engine 000: Avg prompt throughput: 1183.9 tokens/s, Avg generation throughput: 299.9 tokens/s, Running: 16 reqs, Waiting: 29 reqs, GPU KV cache usage: 90.4%, Prefix cache hit rate: 0.0%
(APIServer pid=80595) INFO 09-11 05:36:45 [loggers.py:310] Engine 000: Avg prompt throughput: 1076.6 tokens/s, Avg generation throughput: 387.7 tokens/s, Running: 17 reqs, Waiting: 31 reqs, GPU KV cache usage: 96.0%, Prefix cache hit rate: 0.0%
(APIServer pid=80595) INFO 09-11 05:36:55 [loggers.py:310] Engine 000: Avg prompt throughput: 1398.8 tokens/s, Avg generation throughput: 293.1 tokens/s, Running: 17 reqs, Waiting: 31 reqs, GPU KV cache usage: 96.0%, Prefix cache hit rate: 0.0%
(APIServer pid=80595) INFO 09-11 05:37:05 [loggers.py:310] Engine 000: Avg prompt throughput: 1722.1 tokens/s, Avg generation throughput: 243.7 tokens/s, Running: 16 reqs, Waiting: 29 reqs, GPU KV cache usage: 90.4%, Prefix cache hit rate: 0.0%
(APIServer pid=80595) INFO 09-11 05:37:15 [loggers.py:310] Engine 000: Avg prompt throughput: 968.6 tokens/s, Avg generation throughput: 359.3 tokens/s, Running: 15 reqs, Waiting: 20 reqs, GPU KV cache usage: 84.7%, Prefix cache hit rate: 0.0%
(APIServer pid=80595) INFO 09-11 05:37:25 [loggers.py:310] Engine 000: Avg prompt throughput: 1183.9 tokens/s, Avg generation throughput: 344.9 tokens/s, Running: 15 reqs, Waiting: 9 reqs, GPU KV cache usage: 84.7%, Prefix cache hit rate: 0.0%
(APIServer pid=80595) INFO 09-11 05:37:35 [loggers.py:310] Engine 000: Avg prompt throughput: 968.9 tokens/s, Avg generation throughput: 323.5 tokens/s, Running: 10 reqs, Waiting: 0 reqs, GPU KV cache usage: 56.5%, Prefix cache hit rate: 0.0%
(APIServer pid=80595) INFO 09-11 05:37:45 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 47.3 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=80595) INFO 09-11 05:37:55 [loggers.py:310] Engine 000: Avg prompt throughput: 1722.1 tokens/s, Avg generation throughput: 109.2 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 90.4%, Prefix cache hit rate: 0.0%
(APIServer pid=80595) INFO 09-11 05:38:05 [loggers.py:310] Engine 000: Avg prompt throughput: 1076.3 tokens/s, Avg generation throughput: 309.9 tokens/s, Running: 15 reqs, Waiting: 0 reqs, GPU KV cache usage: 84.7%, Prefix cache hit rate: 0.0%
(APIServer pid=80595) INFO 09-11 05:38:15 [loggers.py:310] Engine 000: Avg prompt throughput: 968.8 tokens/s, Avg generation throughput: 372.1 tokens/s, Running: 14 reqs, Waiting: 0 reqs, GPU KV cache usage: 79.1%, Prefix cache hit rate: 0.0%
(APIServer pid=80595) INFO 09-11 05:38:25 [loggers.py:310] Engine 000: Avg prompt throughput: 1399.0 tokens/s, Avg generation throughput: 303.1 tokens/s, Running: 15 reqs, Waiting: 0 reqs, GPU KV cache usage: 84.7%, Prefix cache hit rate: 0.0%
(APIServer pid=80595) INFO 09-11 05:38:35 [loggers.py:310] Engine 000: Avg prompt throughput: 1721.8 tokens/s, Avg generation throughput: 253.9 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 90.4%, Prefix cache hit rate: 0.0%
(APIServer pid=80595) INFO 09-11 05:38:45 [loggers.py:310] Engine 000: Avg prompt throughput: 1183.9 tokens/s, Avg generation throughput: 321.4 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 90.4%, Prefix cache hit rate: 0.0%
(APIServer pid=80595) INFO 09-11 05:38:55 [loggers.py:310] Engine 000: Avg prompt throughput: 968.8 tokens/s, Avg generation throughput: 321.5 tokens/s, Running: 14 reqs, Waiting: 0 reqs, GPU KV cache usage: 79.1%, Prefix cache hit rate: 0.0%
(APIServer pid=80595) INFO 09-11 05:39:05 [loggers.py:310] Engine 000: Avg prompt throughput: 1291.7 tokens/s, Avg generation throughput: 325.4 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 90.4%, Prefix cache hit rate: 0.0%
