(APIServer pid=84816) INFO 09-11 06:45:47 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 264.5 tokens/s, Running: 27 reqs, Waiting: 15 reqs, GPU KV cache usage: 98.9%, Prefix cache hit rate: 0.0%
(APIServer pid=84816) INFO 09-11 06:45:57 [loggers.py:310] Engine 000: Avg prompt throughput: 1614.6 tokens/s, Avg generation throughput: 47.3 tokens/s, Running: 15 reqs, Waiting: 0 reqs, GPU KV cache usage: 54.9%, Prefix cache hit rate: 0.0%
(APIServer pid=84816) INFO 09-11 06:46:07 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 222.0 tokens/s, Running: 15 reqs, Waiting: 0 reqs, GPU KV cache usage: 54.9%, Prefix cache hit rate: 0.0%
(APIServer pid=84816) INFO 09-11 06:46:17 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 123.6 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=84816) INFO 09-11 06:46:27 [loggers.py:310] Engine 000: Avg prompt throughput: 107.8 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 8 reqs, Waiting: 8 reqs, GPU KV cache usage: 29.3%, Prefix cache hit rate: 0.0%
(APIServer pid=84816) INFO 09-11 06:46:37 [loggers.py:310] Engine 000: Avg prompt throughput: 1614.3 tokens/s, Avg generation throughput: 141.5 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 58.6%, Prefix cache hit rate: 0.0%
(APIServer pid=84816) INFO 09-11 06:46:47 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 230.4 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 58.6%, Prefix cache hit rate: 0.0%
(APIServer pid=84816) INFO 09-11 06:46:57 [loggers.py:310] Engine 000: Avg prompt throughput: 861.1 tokens/s, Avg generation throughput: 38.5 tokens/s, Running: 15 reqs, Waiting: 0 reqs, GPU KV cache usage: 54.9%, Prefix cache hit rate: 0.0%
(APIServer pid=84816) INFO 09-11 06:47:07 [loggers.py:310] Engine 000: Avg prompt throughput: 861.1 tokens/s, Avg generation throughput: 227.1 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 58.6%, Prefix cache hit rate: 0.0%
(APIServer pid=84816) INFO 09-11 06:47:17 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 181.5 tokens/s, Running: 2 reqs, Waiting: 0 reqs, GPU KV cache usage: 7.3%, Prefix cache hit rate: 0.0%
(APIServer pid=84816) INFO 09-11 06:47:27 [loggers.py:310] Engine 000: Avg prompt throughput: 1721.8 tokens/s, Avg generation throughput: 82.5 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 58.6%, Prefix cache hit rate: 0.0%
(APIServer pid=84816) INFO 09-11 06:47:37 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 233.6 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 58.6%, Prefix cache hit rate: 0.0%
(APIServer pid=84816) INFO 09-11 06:47:47 [loggers.py:310] Engine 000: Avg prompt throughput: 107.6 tokens/s, Avg generation throughput: 93.7 tokens/s, Running: 8 reqs, Waiting: 0 reqs, GPU KV cache usage: 29.3%, Prefix cache hit rate: 0.0%
(APIServer pid=84816) INFO 09-11 06:47:57 [loggers.py:310] Engine 000: Avg prompt throughput: 1614.3 tokens/s, Avg generation throughput: 170.3 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 58.6%, Prefix cache hit rate: 0.0%
(APIServer pid=84816) INFO 09-11 06:48:07 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 233.6 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 58.6%, Prefix cache hit rate: 0.0%
(APIServer pid=84816) INFO 09-11 06:48:17 [loggers.py:310] Engine 000: Avg prompt throughput: 1722.2 tokens/s, Avg generation throughput: 32.0 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 58.6%, Prefix cache hit rate: 0.0%
(APIServer pid=84816) INFO 09-11 06:48:27 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 232.0 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 58.6%, Prefix cache hit rate: 0.0%
(APIServer pid=84816) INFO 09-11 06:48:37 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 151.1 tokens/s, Running: 2 reqs, Waiting: 0 reqs, GPU KV cache usage: 7.3%, Prefix cache hit rate: 0.0%
(APIServer pid=84816) INFO 09-11 06:48:47 [loggers.py:310] Engine 000: Avg prompt throughput: 1722.1 tokens/s, Avg generation throughput: 112.9 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 58.6%, Prefix cache hit rate: 0.0%
(APIServer pid=84816) INFO 09-11 06:48:57 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 232.0 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 58.6%, Prefix cache hit rate: 0.0%
