--- <out-dir-7>/server_B0.log
(APIServer pid=111519) INFO 09-11 12:29:13 [loggers.py:310] Engine 000: Avg prompt throughput: 107.6 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 4 reqs, Waiting: 12 reqs, GPU KV cache usage: 4.4%, Prefix cache hit rate: 0.0%
(APIServer pid=111519) INFO 09-11 12:29:23 [loggers.py:310] Engine 000: Avg prompt throughput: 1615.0 tokens/s, Avg generation throughput: 199.4 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 14.6%, Prefix cache hit rate: 0.0%
(APIServer pid=111519) INFO 09-11 12:29:33 [loggers.py:310] Engine 000: Avg prompt throughput: 1076.6 tokens/s, Avg generation throughput: 213.8 tokens/s, Running: 13 reqs, Waiting: 0 reqs, GPU KV cache usage: 13.2%, Prefix cache hit rate: 0.0%
(APIServer pid=111519) INFO 09-11 12:29:43 [loggers.py:310] Engine 000: Avg prompt throughput: 646.0 tokens/s, Avg generation throughput: 301.4 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 14.6%, Prefix cache hit rate: 0.0%
(APIServer pid=111519) INFO 09-11 12:29:53 [loggers.py:310] Engine 000: Avg prompt throughput: 1721.9 tokens/s, Avg generation throughput: 163.2 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 14.6%, Prefix cache hit rate: 0.0%
(APIServer pid=111519) INFO 09-11 12:30:03 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 345.3 tokens/s, Running: 13 reqs, Waiting: 0 reqs, GPU KV cache usage: 11.7%, Prefix cache hit rate: 0.0%
(APIServer pid=111519) INFO 09-11 12:30:13 [loggers.py:310] Engine 000: Avg prompt throughput: 1721.9 tokens/s, Avg generation throughput: 169.9 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 14.6%, Prefix cache hit rate: 0.0%
(APIServer pid=111519) INFO 09-11 12:30:23 [loggers.py:310] Engine 000: Avg prompt throughput: 753.6 tokens/s, Avg generation throughput: 246.7 tokens/s, Running: 13 reqs, Waiting: 0 reqs, GPU KV cache usage: 13.2%, Prefix cache hit rate: 0.0%
(APIServer pid=111519) INFO 09-11 12:30:33 [loggers.py:310] Engine 000: Avg prompt throughput: 968.9 tokens/s, Avg generation throughput: 268.5 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 14.6%, Prefix cache hit rate: 0.0%
(APIServer pid=111519) INFO 09-11 12:30:43 [loggers.py:310] Engine 000: Avg prompt throughput: 1721.9 tokens/s, Avg generation throughput: 161.6 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 14.6%, Prefix cache hit rate: 0.0%
(APIServer pid=111519) INFO 09-11 12:30:53 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 353.6 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 14.6%, Prefix cache hit rate: 0.0%
(APIServer pid=111519) INFO 09-11 12:31:03 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 34.1 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
