--- <out-dir-7>/server_B0p.log
(APIServer pid=134432) INFO 09-11 14:38:37 [loggers.py:310] Engine 000: Avg prompt throughput: 430.7 tokens/s, Avg generation throughput: 0.7 tokens/s, Running: 7 reqs, Waiting: 9 reqs, GPU KV cache usage: 7.7%, Prefix cache hit rate: 0.0%
(APIServer pid=134432) INFO 09-11 14:38:47 [loggers.py:310] Engine 000: Avg prompt throughput: 1292.0 tokens/s, Avg generation throughput: 229.2 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 14.6%, Prefix cache hit rate: 0.0%
(APIServer pid=134432) INFO 09-11 14:38:57 [loggers.py:310] Engine 000: Avg prompt throughput: 1399.5 tokens/s, Avg generation throughput: 185.8 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 15.9%, Prefix cache hit rate: 0.0%
(APIServer pid=134432) INFO 09-11 14:39:07 [loggers.py:310] Engine 000: Avg prompt throughput: 323.1 tokens/s, Avg generation throughput: 329.4 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 14.6%, Prefix cache hit rate: 0.0%
(APIServer pid=134432) INFO 09-11 14:39:17 [loggers.py:310] Engine 000: Avg prompt throughput: 1721.9 tokens/s, Avg generation throughput: 163.2 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 14.6%, Prefix cache hit rate: 0.0%
(APIServer pid=134432) INFO 09-11 14:39:27 [loggers.py:310] Engine 000: Avg prompt throughput: 107.6 tokens/s, Avg generation throughput: 317.3 tokens/s, Running: 13 reqs, Waiting: 0 reqs, GPU KV cache usage: 12.6%, Prefix cache hit rate: 0.0%
(APIServer pid=134432) INFO 09-11 14:39:37 [loggers.py:310] Engine 000: Avg prompt throughput: 1614.1 tokens/s, Avg generation throughput: 197.9 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 14.6%, Prefix cache hit rate: 0.0%
(APIServer pid=134432) INFO 09-11 14:39:47 [loggers.py:310] Engine 000: Avg prompt throughput: 1076.6 tokens/s, Avg generation throughput: 218.6 tokens/s, Running: 13 reqs, Waiting: 0 reqs, GPU KV cache usage: 13.2%, Prefix cache hit rate: 0.0%
(APIServer pid=134432) INFO 09-11 14:39:57 [loggers.py:310] Engine 000: Avg prompt throughput: 646.0 tokens/s, Avg generation throughput: 296.6 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 14.6%, Prefix cache hit rate: 0.0%
(APIServer pid=134432) INFO 09-11 14:40:07 [loggers.py:310] Engine 000: Avg prompt throughput: 1721.9 tokens/s, Avg generation throughput: 161.6 tokens/s, Running: 16 reqs, Waiting: 0 reqs, GPU KV cache usage: 14.6%, Prefix cache hit rate: 0.0%
(APIServer pid=134432) INFO 09-11 14:40:17 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 352.9 tokens/s, Running: 11 reqs, Waiting: 0 reqs, GPU KV cache usage: 10.1%, Prefix cache hit rate: 0.0%
(APIServer pid=134432) INFO 09-11 14:40:27 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 4.4 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=134432) INFO 09-11 14:40:37 [loggers.py:310] Engine 000: Avg prompt throughput: 2906.3 tokens/s, Avg generation throughput: 25.3 tokens/s, Running: 30 reqs, Waiting: 18 reqs, GPU KV cache usage: 28.7%, Prefix cache hit rate: 0.0%
