--- <out-dir-7>/server_R2bZw_1.log
(APIServer pid=200699) INFO 09-11 18:39:11 [loggers.py:310] Engine 000: Avg prompt throughput: 3121.7 tokens/s, Avg generation throughput: 7.5 tokens/s, Running: 36 reqs, Waiting: 24 reqs, GPU KV cache usage: 76.2%, Prefix cache hit rate: 0.0%
(APIServer pid=200699) INFO 09-11 18:39:21 [loggers.py:310] Engine 000: Avg prompt throughput: 1937.5 tokens/s, Avg generation throughput: 440.3 tokens/s, Running: 47 reqs, Waiting: 13 reqs, GPU KV cache usage: 99.5%, Prefix cache hit rate: 0.0%
(APIServer pid=200699) INFO 09-11 18:39:31 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 653.2 tokens/s, Running: 47 reqs, Waiting: 13 reqs, GPU KV cache usage: 99.5%, Prefix cache hit rate: 0.0%
(APIServer pid=200699) INFO 09-11 18:39:41 [loggers.py:310] Engine 000: Avg prompt throughput: 2367.8 tokens/s, Avg generation throughput: 105.2 tokens/s, Running: 40 reqs, Waiting: 6 reqs, GPU KV cache usage: 84.7%, Prefix cache hit rate: 0.0%
(APIServer pid=200699) INFO 09-11 18:39:51 [loggers.py:310] Engine 000: Avg prompt throughput: 2690.7 tokens/s, Avg generation throughput: 242.6 tokens/s, Running: 47 reqs, Waiting: 13 reqs, GPU KV cache usage: 99.5%, Prefix cache hit rate: 0.0%
(APIServer pid=200699) INFO 09-11 18:40:01 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 653.3 tokens/s, Running: 47 reqs, Waiting: 13 reqs, GPU KV cache usage: 99.5%, Prefix cache hit rate: 0.0%
(APIServer pid=200699) INFO 09-11 18:40:11 [loggers.py:310] Engine 000: Avg prompt throughput: 861.1 tokens/s, Avg generation throughput: 299.3 tokens/s, Running: 40 reqs, Waiting: 6 reqs, GPU KV cache usage: 84.7%, Prefix cache hit rate: 0.0%
(APIServer pid=200699) INFO 09-11 18:40:21 [loggers.py:310] Engine 000: Avg prompt throughput: 1937.3 tokens/s, Avg generation throughput: 329.3 tokens/s, Running: 26 reqs, Waiting: 0 reqs, GPU KV cache usage: 55.0%, Prefix cache hit rate: 0.0%
(APIServer pid=200699) INFO 09-11 18:40:31 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 341.2 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=200699) INFO 09-11 18:40:41 [loggers.py:310] Engine 000: Avg prompt throughput: 107.8 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 8 reqs, Waiting: 20 reqs, GPU KV cache usage: 16.9%, Prefix cache hit rate: 0.0%
(APIServer pid=200699) INFO 09-11 18:40:51 [loggers.py:310] Engine 000: Avg prompt throughput: 3013.8 tokens/s, Avg generation throughput: 7.4 tokens/s, Running: 36 reqs, Waiting: 18 reqs, GPU KV cache usage: 76.2%, Prefix cache hit rate: 0.0%
