--- <out-dir-7>/server_R2cABr_1.log
(APIServer pid=189551) INFO 09-11 17:56:29 [loggers.py:310] Engine 000: Avg prompt throughput: 861.1 tokens/s, Avg generation throughput: 1.0 tokens/s, Running: 15 reqs, Waiting: 9 reqs, GPU KV cache usage: 61.4%, Prefix cache hit rate: 0.0%
(APIServer pid=189551) INFO 09-11 17:56:39 [loggers.py:310] Engine 000: Avg prompt throughput: 1722.1 tokens/s, Avg generation throughput: 386.2 tokens/s, Running: 24 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=189551) INFO 09-11 17:56:49 [loggers.py:310] Engine 000: Avg prompt throughput: 1829.9 tokens/s, Avg generation throughput: 252.5 tokens/s, Running: 22 reqs, Waiting: 0 reqs, GPU KV cache usage: 90.1%, Prefix cache hit rate: 0.0%
(APIServer pid=189551) INFO 09-11 17:56:59 [loggers.py:310] Engine 000: Avg prompt throughput: 753.2 tokens/s, Avg generation throughput: 485.5 tokens/s, Running: 24 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=189551) INFO 09-11 17:57:09 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 103.4 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
--- <out-dir-7>/server_R2cABr_2.log
(APIServer pid=190698) INFO 09-11 17:56:28 [loggers.py:310] Engine 000: Avg prompt throughput: 107.8 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 8 reqs, Waiting: 16 reqs, GPU KV cache usage: 32.7%, Prefix cache hit rate: 0.0%
(APIServer pid=190698) INFO 09-11 17:56:38 [loggers.py:310] Engine 000: Avg prompt throughput: 2475.3 tokens/s, Avg generation throughput: 314.4 tokens/s, Running: 24 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=190698) INFO 09-11 17:56:48 [loggers.py:310] Engine 000: Avg prompt throughput: 1291.8 tokens/s, Avg generation throughput: 315.2 tokens/s, Running: 19 reqs, Waiting: 0 reqs, GPU KV cache usage: 77.8%, Prefix cache hit rate: 0.0%
(APIServer pid=190698) INFO 09-11 17:56:58 [loggers.py:310] Engine 000: Avg prompt throughput: 1291.4 tokens/s, Avg generation throughput: 419.5 tokens/s, Running: 24 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=190698) INFO 09-11 17:57:08 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 179.6 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=190698) INFO 09-11 17:57:18 [loggers.py:310] Engine 000: Avg prompt throughput: 1614.5 tokens/s, Avg generation throughput: 3.1 tokens/s, Running: 22 reqs, Waiting: 2 reqs, GPU KV cache usage: 90.1%, Prefix cache hit rate: 0.0%
