--- <out-dir-7>/server_R2cH_1.log
(APIServer pid=149015) INFO 09-11 15:05:27 [loggers.py:310] Engine 000: Avg prompt throughput: 107.7 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 8 reqs, Waiting: 52 reqs, GPU KV cache usage: 31.8%, Prefix cache hit rate: 0.0%
(APIServer pid=149015) INFO 09-11 15:05:37 [loggers.py:310] Engine 000: Avg prompt throughput: 2583.6 tokens/s, Avg generation throughput: 309.5 tokens/s, Running: 25 reqs, Waiting: 35 reqs, GPU KV cache usage: 99.4%, Prefix cache hit rate: 0.0%
(APIServer pid=149015) INFO 09-11 15:05:47 [loggers.py:310] Engine 000: Avg prompt throughput: 1399.6 tokens/s, Avg generation throughput: 333.5 tokens/s, Running: 25 reqs, Waiting: 33 reqs, GPU KV cache usage: 99.4%, Prefix cache hit rate: 0.0%
(APIServer pid=149015) INFO 09-11 15:05:57 [loggers.py:310] Engine 000: Avg prompt throughput: 1291.2 tokens/s, Avg generation throughput: 399.6 tokens/s, Running: 25 reqs, Waiting: 35 reqs, GPU KV cache usage: 99.4%, Prefix cache hit rate: 0.0%
(APIServer pid=149015) INFO 09-11 15:06:07 [loggers.py:310] Engine 000: Avg prompt throughput: 1721.6 tokens/s, Avg generation throughput: 262.8 tokens/s, Running: 23 reqs, Waiting: 34 reqs, GPU KV cache usage: 91.5%, Prefix cache hit rate: 0.0%
(APIServer pid=149015) INFO 09-11 15:06:17 [loggers.py:310] Engine 000: Avg prompt throughput: 969.2 tokens/s, Avg generation throughput: 478.8 tokens/s, Running: 25 reqs, Waiting: 35 reqs, GPU KV cache usage: 99.4%, Prefix cache hit rate: 0.0%
(APIServer pid=149015) INFO 09-11 15:06:27 [loggers.py:310] Engine 000: Avg prompt throughput: 2260.1 tokens/s, Avg generation throughput: 189.5 tokens/s, Running: 25 reqs, Waiting: 23 reqs, GPU KV cache usage: 99.4%, Prefix cache hit rate: 0.0%
(APIServer pid=149015) INFO 09-11 15:06:37 [loggers.py:310] Engine 000: Avg prompt throughput: 538.4 tokens/s, Avg generation throughput: 520.0 tokens/s, Running: 24 reqs, Waiting: 19 reqs, GPU KV cache usage: 95.5%, Prefix cache hit rate: 0.0%
(APIServer pid=149015) INFO 09-11 15:06:47 [loggers.py:310] Engine 000: Avg prompt throughput: 2045.2 tokens/s, Avg generation throughput: 222.9 tokens/s, Running: 20 reqs, Waiting: 0 reqs, GPU KV cache usage: 79.5%, Prefix cache hit rate: 0.0%
(APIServer pid=149015) INFO 09-11 15:06:57 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 355.2 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=149015) INFO 09-11 15:07:07 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
--- <out-dir-7>/server_R2cH_2.log
(APIServer pid=149016) INFO 09-11 15:05:34 [loggers.py:310] Engine 000: Avg prompt throughput: 2583.5 tokens/s, Avg generation throughput: 184.0 tokens/s, Running: 24 reqs, Waiting: 36 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=149016) INFO 09-11 15:05:44 [loggers.py:310] Engine 000: Avg prompt throughput: 753.3 tokens/s, Avg generation throughput: 407.5 tokens/s, Running: 23 reqs, Waiting: 33 reqs, GPU KV cache usage: 94.2%, Prefix cache hit rate: 0.0%
(APIServer pid=149016) INFO 09-11 15:05:54 [loggers.py:310] Engine 000: Avg prompt throughput: 1829.1 tokens/s, Avg generation throughput: 329.3 tokens/s, Running: 24 reqs, Waiting: 36 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=149016) INFO 09-11 15:06:04 [loggers.py:310] Engine 000: Avg prompt throughput: 1614.4 tokens/s, Avg generation throughput: 312.3 tokens/s, Running: 23 reqs, Waiting: 36 reqs, GPU KV cache usage: 94.2%, Prefix cache hit rate: 0.0%
(APIServer pid=149016) INFO 09-11 15:06:14 [loggers.py:310] Engine 000: Avg prompt throughput: 968.5 tokens/s, Avg generation throughput: 417.3 tokens/s, Running: 24 reqs, Waiting: 36 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=149016) INFO 09-11 15:06:24 [loggers.py:310] Engine 000: Avg prompt throughput: 1937.5 tokens/s, Avg generation throughput: 225.6 tokens/s, Running: 22 reqs, Waiting: 30 reqs, GPU KV cache usage: 90.1%, Prefix cache hit rate: 0.0%
(APIServer pid=149016) INFO 09-11 15:06:34 [loggers.py:310] Engine 000: Avg prompt throughput: 753.4 tokens/s, Avg generation throughput: 478.5 tokens/s, Running: 23 reqs, Waiting: 23 reqs, GPU KV cache usage: 94.2%, Prefix cache hit rate: 0.0%
(APIServer pid=149016) INFO 09-11 15:06:44 [loggers.py:310] Engine 000: Avg prompt throughput: 2260.1 tokens/s, Avg generation throughput: 202.8 tokens/s, Running: 24 reqs, Waiting: 2 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=149016) INFO 09-11 15:06:54 [loggers.py:310] Engine 000: Avg prompt throughput: 215.3 tokens/s, Avg generation throughput: 506.2 tokens/s, Running: 3 reqs, Waiting: 0 reqs, GPU KV cache usage: 12.3%, Prefix cache hit rate: 0.0%
(APIServer pid=149016) INFO 09-11 15:07:04 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 8.5 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
