--- <out-dir-7>/server_R2cZ6_1.log
(APIServer pid=251744) INFO 09-11 21:45:23 [loggers.py:310] Engine 000: Avg prompt throughput: 107.8 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 8 reqs, Waiting: 16 reqs, GPU KV cache usage: 32.7%, Prefix cache hit rate: 0.0%
(APIServer pid=251744) INFO 09-11 21:45:33 [loggers.py:310] Engine 000: Avg prompt throughput: 2475.5 tokens/s, Avg generation throughput: 307.9 tokens/s, Running: 24 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=251744) INFO 09-11 21:45:43 [loggers.py:310] Engine 000: Avg prompt throughput: 1291.7 tokens/s, Avg generation throughput: 322.8 tokens/s, Running: 21 reqs, Waiting: 0 reqs, GPU KV cache usage: 86.0%, Prefix cache hit rate: 0.0%
(APIServer pid=251744) INFO 09-11 21:45:53 [loggers.py:310] Engine 000: Avg prompt throughput: 1291.2 tokens/s, Avg generation throughput: 410.3 tokens/s, Running: 24 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=251744) INFO 09-11 21:46:03 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 187.6 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=251744) INFO 09-11 21:46:13 [loggers.py:310] Engine 000: Avg prompt throughput: 861.1 tokens/s, Avg generation throughput: 1.0 tokens/s, Running: 15 reqs, Waiting: 45 reqs, GPU KV cache usage: 61.4%, Prefix cache hit rate: 0.0%
(APIServer pid=251744) INFO 09-11 21:46:23 [loggers.py:310] Engine 000: Avg prompt throughput: 1722.3 tokens/s, Avg generation throughput: 466.0 tokens/s, Running: 24 reqs, Waiting: 36 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=251744) INFO 09-11 21:46:33 [loggers.py:310] Engine 000: Avg prompt throughput: 2152.7 tokens/s, Avg generation throughput: 180.6 tokens/s, Running: 22 reqs, Waiting: 34 reqs, GPU KV cache usage: 90.1%, Prefix cache hit rate: 0.0%
(APIServer pid=251744) INFO 09-11 21:46:43 [loggers.py:310] Engine 000: Avg prompt throughput: 538.1 tokens/s, Avg generation throughput: 531.9 tokens/s, Running: 21 reqs, Waiting: 36 reqs, GPU KV cache usage: 86.0%, Prefix cache hit rate: 0.0%
(APIServer pid=251744) INFO 09-11 21:46:53 [loggers.py:310] Engine 000: Avg prompt throughput: 2475.4 tokens/s, Avg generation throughput: 170.5 tokens/s, Running: 24 reqs, Waiting: 36 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=251744) INFO 09-11 21:47:03 [loggers.py:310] Engine 000: Avg prompt throughput: 430.5 tokens/s, Avg generation throughput: 469.2 tokens/s, Running: 23 reqs, Waiting: 33 reqs, GPU KV cache usage: 94.2%, Prefix cache hit rate: 0.0%
(APIServer pid=251744) INFO 09-11 21:47:13 [loggers.py:310] Engine 000: Avg prompt throughput: 2152.6 tokens/s, Avg generation throughput: 251.5 tokens/s, Running: 24 reqs, Waiting: 24 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=251744) INFO 09-11 21:47:23 [loggers.py:310] Engine 000: Avg prompt throughput: 1076.2 tokens/s, Avg generation throughput: 384.0 tokens/s, Running: 22 reqs, Waiting: 14 reqs, GPU KV cache usage: 90.1%, Prefix cache hit rate: 0.0%
(APIServer pid=251744) INFO 09-11 21:47:33 [loggers.py:310] Engine 000: Avg prompt throughput: 1506.8 tokens/s, Avg generation throughput: 332.7 tokens/s, Running: 24 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=251744) INFO 09-11 21:47:43 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 284.6 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=251744) INFO 09-11 21:47:53 [loggers.py:310] Engine 000: Avg prompt throughput: 861.0 tokens/s, Avg generation throughput: 1.0 tokens/s, Running: 15 reqs, Waiting: 9 reqs, GPU KV cache usage: 61.4%, Prefix cache hit rate: 0.0%
--- <out-dir-7>/server_R2cZ6_2.log
(APIServer pid=252892) INFO 09-11 21:45:23 [loggers.py:310] Engine 000: Avg prompt throughput: 107.8 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 8 reqs, Waiting: 16 reqs, GPU KV cache usage: 32.7%, Prefix cache hit rate: 0.0%
(APIServer pid=252892) INFO 09-11 21:45:33 [loggers.py:310] Engine 000: Avg prompt throughput: 2475.4 tokens/s, Avg generation throughput: 317.9 tokens/s, Running: 24 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=252892) INFO 09-11 21:45:43 [loggers.py:310] Engine 000: Avg prompt throughput: 1399.3 tokens/s, Avg generation throughput: 314.1 tokens/s, Running: 22 reqs, Waiting: 0 reqs, GPU KV cache usage: 90.1%, Prefix cache hit rate: 0.0%
(APIServer pid=252892) INFO 09-11 21:45:53 [loggers.py:310] Engine 000: Avg prompt throughput: 1183.9 tokens/s, Avg generation throughput: 421.0 tokens/s, Running: 24 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=252892) INFO 09-11 21:46:03 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 175.7 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=252892) INFO 09-11 21:46:13 [loggers.py:310] Engine 000: Avg prompt throughput: 861.1 tokens/s, Avg generation throughput: 1.0 tokens/s, Running: 15 reqs, Waiting: 45 reqs, GPU KV cache usage: 61.4%, Prefix cache hit rate: 0.0%
(APIServer pid=252892) INFO 09-11 21:46:23 [loggers.py:310] Engine 000: Avg prompt throughput: 1722.1 tokens/s, Avg generation throughput: 486.5 tokens/s, Running: 24 reqs, Waiting: 36 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=252892) INFO 09-11 21:46:33 [loggers.py:310] Engine 000: Avg prompt throughput: 2152.7 tokens/s, Avg generation throughput: 162.4 tokens/s, Running: 22 reqs, Waiting: 34 reqs, GPU KV cache usage: 90.1%, Prefix cache hit rate: 0.0%
(APIServer pid=252892) INFO 09-11 21:46:43 [loggers.py:310] Engine 000: Avg prompt throughput: 538.1 tokens/s, Avg generation throughput: 531.3 tokens/s, Running: 23 reqs, Waiting: 34 reqs, GPU KV cache usage: 94.2%, Prefix cache hit rate: 0.0%
(APIServer pid=252892) INFO 09-11 21:46:53 [loggers.py:310] Engine 000: Avg prompt throughput: 2475.4 tokens/s, Avg generation throughput: 185.7 tokens/s, Running: 24 reqs, Waiting: 36 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=252892) INFO 09-11 21:47:03 [loggers.py:310] Engine 000: Avg prompt throughput: 753.5 tokens/s, Avg generation throughput: 455.1 tokens/s, Running: 22 reqs, Waiting: 36 reqs, GPU KV cache usage: 90.1%, Prefix cache hit rate: 0.0%
(APIServer pid=252892) INFO 09-11 21:47:13 [loggers.py:310] Engine 000: Avg prompt throughput: 1829.7 tokens/s, Avg generation throughput: 274.0 tokens/s, Running: 24 reqs, Waiting: 24 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=252892) INFO 09-11 21:47:23 [loggers.py:310] Engine 000: Avg prompt throughput: 1183.9 tokens/s, Avg generation throughput: 360.2 tokens/s, Running: 22 reqs, Waiting: 12 reqs, GPU KV cache usage: 90.1%, Prefix cache hit rate: 0.0%
(APIServer pid=252892) INFO 09-11 21:47:33 [loggers.py:310] Engine 000: Avg prompt throughput: 1399.3 tokens/s, Avg generation throughput: 360.2 tokens/s, Running: 24 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=252892) INFO 09-11 21:47:43 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 255.5 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=252892) INFO 09-11 21:47:53 [loggers.py:310] Engine 000: Avg prompt throughput: 861.1 tokens/s, Avg generation throughput: 1.0 tokens/s, Running: 15 reqs, Waiting: 9 reqs, GPU KV cache usage: 61.4%, Prefix cache hit rate: 0.0%
