--- <out-dir-7>/server_R2cZ7_1.log
(APIServer pid=258720) INFO 09-11 22:17:55 [loggers.py:310] Engine 000: Avg prompt throughput: 107.8 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 8 reqs, Waiting: 52 reqs, GPU KV cache usage: 31.8%, Prefix cache hit rate: 0.0%
(APIServer pid=258720) INFO 09-11 22:18:05 [loggers.py:310] Engine 000: Avg prompt throughput: 2583.3 tokens/s, Avg generation throughput: 255.8 tokens/s, Running: 25 reqs, Waiting: 35 reqs, GPU KV cache usage: 99.4%, Prefix cache hit rate: 0.0%
(APIServer pid=258720) INFO 09-11 22:18:15 [loggers.py:310] Engine 000: Avg prompt throughput: 1184.2 tokens/s, Avg generation throughput: 379.9 tokens/s, Running: 24 reqs, Waiting: 34 reqs, GPU KV cache usage: 95.5%, Prefix cache hit rate: 0.0%
(APIServer pid=258720) INFO 09-11 22:18:25 [loggers.py:310] Engine 000: Avg prompt throughput: 1506.6 tokens/s, Avg generation throughput: 355.6 tokens/s, Running: 25 reqs, Waiting: 35 reqs, GPU KV cache usage: 99.4%, Prefix cache hit rate: 0.0%
(APIServer pid=258720) INFO 09-11 22:18:35 [loggers.py:310] Engine 000: Avg prompt throughput: 1614.5 tokens/s, Avg generation throughput: 294.8 tokens/s, Running: 23 reqs, Waiting: 34 reqs, GPU KV cache usage: 91.5%, Prefix cache hit rate: 0.0%
(APIServer pid=258720) INFO 09-11 22:18:45 [loggers.py:310] Engine 000: Avg prompt throughput: 1076.1 tokens/s, Avg generation throughput: 435.3 tokens/s, Running: 25 reqs, Waiting: 35 reqs, GPU KV cache usage: 99.4%, Prefix cache hit rate: 0.0%
(APIServer pid=258720) INFO 09-11 22:18:55 [loggers.py:310] Engine 000: Avg prompt throughput: 1937.5 tokens/s, Avg generation throughput: 232.6 tokens/s, Running: 25 reqs, Waiting: 25 reqs, GPU KV cache usage: 99.4%, Prefix cache hit rate: 0.0%
(APIServer pid=258720) INFO 09-11 22:19:05 [loggers.py:310] Engine 000: Avg prompt throughput: 753.3 tokens/s, Avg generation throughput: 493.6 tokens/s, Running: 25 reqs, Waiting: 20 reqs, GPU KV cache usage: 99.4%, Prefix cache hit rate: 0.0%
(APIServer pid=258720) INFO 09-11 22:19:15 [loggers.py:310] Engine 000: Avg prompt throughput: 2152.8 tokens/s, Avg generation throughput: 210.3 tokens/s, Running: 22 reqs, Waiting: 0 reqs, GPU KV cache usage: 87.5%, Prefix cache hit rate: 0.0%
(APIServer pid=258720) INFO 09-11 22:19:25 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 414.0 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=258720) INFO 09-11 22:19:35 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=258720) INFO 09-11 22:19:45 [loggers.py:310] Engine 000: Avg prompt throughput: 2583.4 tokens/s, Avg generation throughput: 187.0 tokens/s, Running: 24 reqs, Waiting: 0 reqs, GPU KV cache usage: 95.5%, Prefix cache hit rate: 0.0%
(APIServer pid=258720) INFO 09-11 22:19:55 [loggers.py:310] Engine 000: Avg prompt throughput: 861.3 tokens/s, Avg generation throughput: 421.5 tokens/s, Running: 23 reqs, Waiting: 0 reqs, GPU KV cache usage: 91.5%, Prefix cache hit rate: 0.0%
(APIServer pid=258720) INFO 09-11 22:20:05 [loggers.py:310] Engine 000: Avg prompt throughput: 1721.8 tokens/s, Avg generation throughput: 307.7 tokens/s, Running: 24 reqs, Waiting: 0 reqs, GPU KV cache usage: 95.5%, Prefix cache hit rate: 0.0%
(APIServer pid=258720) INFO 09-11 22:20:15 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 312.6 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=258720) INFO 09-11 22:20:25 [loggers.py:310] Engine 000: Avg prompt throughput: 861.0 tokens/s, Avg generation throughput: 1.0 tokens/s, Running: 15 reqs, Waiting: 45 reqs, GPU KV cache usage: 59.7%, Prefix cache hit rate: 0.0%
(APIServer pid=258720) INFO 09-11 22:20:35 [loggers.py:310] Engine 000: Avg prompt throughput: 1829.8 tokens/s, Avg generation throughput: 342.2 tokens/s, Running: 25 reqs, Waiting: 35 reqs, GPU KV cache usage: 99.4%, Prefix cache hit rate: 0.0%
