--- <out-dir-7>/server_R2cZ_1.log
--- <out-dir-7>/server_R2cZ_2.log
(APIServer pid=176535) INFO 09-11 17:12:33 [loggers.py:310] Engine 000: Avg prompt throughput: 861.1 tokens/s, Avg generation throughput: 1.0 tokens/s, Running: 15 reqs, Waiting: 9 reqs, GPU KV cache usage: 61.4%, Prefix cache hit rate: 0.0%
(APIServer pid=176535) INFO 09-11 17:12:43 [loggers.py:310] Engine 000: Avg prompt throughput: 1722.4 tokens/s, Avg generation throughput: 400.2 tokens/s, Running: 24 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=176535) INFO 09-11 17:12:53 [loggers.py:310] Engine 000: Avg prompt throughput: 1829.9 tokens/s, Avg generation throughput: 236.0 tokens/s, Running: 21 reqs, Waiting: 0 reqs, GPU KV cache usage: 86.0%, Prefix cache hit rate: 0.0%
(APIServer pid=176535) INFO 09-11 17:13:03 [loggers.py:310] Engine 000: Avg prompt throughput: 753.3 tokens/s, Avg generation throughput: 500.3 tokens/s, Running: 24 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=176535) INFO 09-11 17:13:13 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 91.3 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=176535) INFO 09-11 17:13:23 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=176535) INFO 09-11 17:13:33 [loggers.py:310] Engine 000: Avg prompt throughput: 2583.5 tokens/s, Avg generation throughput: 157.4 tokens/s, Running: 24 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=176535) INFO 09-11 17:13:43 [loggers.py:310] Engine 000: Avg prompt throughput: 753.5 tokens/s, Avg generation throughput: 440.4 tokens/s, Running: 24 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=176535) INFO 09-11 17:13:53 [loggers.py:310] Engine 000: Avg prompt throughput: 1829.5 tokens/s, Avg generation throughput: 287.1 tokens/s, Running: 24 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=176535) INFO 09-11 17:14:03 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 343.8 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=176535) INFO 09-11 17:14:13 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
