--- <out-dir-7>/server_R2cZw_1.log
(APIServer pid=206831) INFO 09-11 18:58:46 [loggers.py:310] Engine 000: Avg prompt throughput: 107.8 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 8 reqs, Waiting: 52 reqs, GPU KV cache usage: 32.7%, Prefix cache hit rate: 0.0%
(APIServer pid=206831) INFO 09-11 18:58:56 [loggers.py:310] Engine 000: Avg prompt throughput: 2475.6 tokens/s, Avg generation throughput: 326.9 tokens/s, Running: 24 reqs, Waiting: 36 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=206831) INFO 09-11 18:59:06 [loggers.py:310] Engine 000: Avg prompt throughput: 1507.1 tokens/s, Avg generation throughput: 303.1 tokens/s, Running: 22 reqs, Waiting: 34 reqs, GPU KV cache usage: 90.1%, Prefix cache hit rate: 0.0%
(APIServer pid=206831) INFO 09-11 18:59:16 [loggers.py:310] Engine 000: Avg prompt throughput: 1075.9 tokens/s, Avg generation throughput: 426.8 tokens/s, Running: 24 reqs, Waiting: 36 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=206831) INFO 09-11 18:59:26 [loggers.py:310] Engine 000: Avg prompt throughput: 2045.0 tokens/s, Avg generation throughput: 207.2 tokens/s, Running: 24 reqs, Waiting: 34 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=206831) INFO 09-11 18:59:36 [loggers.py:310] Engine 000: Avg prompt throughput: 645.8 tokens/s, Avg generation throughput: 499.0 tokens/s, Running: 23 reqs, Waiting: 36 reqs, GPU KV cache usage: 94.2%, Prefix cache hit rate: 0.0%
(APIServer pid=206831) INFO 09-11 18:59:46 [loggers.py:310] Engine 000: Avg prompt throughput: 2368.1 tokens/s, Avg generation throughput: 175.6 tokens/s, Running: 23 reqs, Waiting: 25 reqs, GPU KV cache usage: 94.2%, Prefix cache hit rate: 0.0%
(APIServer pid=206831) INFO 09-11 18:59:56 [loggers.py:310] Engine 000: Avg prompt throughput: 538.0 tokens/s, Avg generation throughput: 471.3 tokens/s, Running: 23 reqs, Waiting: 19 reqs, GPU KV cache usage: 94.2%, Prefix cache hit rate: 0.0%
(APIServer pid=206831) INFO 09-11 19:00:06 [loggers.py:310] Engine 000: Avg prompt throughput: 2152.9 tokens/s, Avg generation throughput: 225.1 tokens/s, Running: 24 reqs, Waiting: 0 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=206831) INFO 09-11 19:00:16 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 436.8 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=206831) INFO 09-11 19:00:26 [loggers.py:310] Engine 000: Avg prompt throughput: 107.8 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 1 reqs, Waiting: 0 reqs, GPU KV cache usage: 4.1%, Prefix cache hit rate: 0.0%
--- <out-dir-7>/server_R2cZw_2.log
(APIServer pid=207979) INFO 09-11 18:58:54 [loggers.py:310] Engine 000: Avg prompt throughput: 2583.4 tokens/s, Avg generation throughput: 178.4 tokens/s, Running: 24 reqs, Waiting: 36 reqs, GPU KV cache usage: 98.2%, Prefix cache hit rate: 0.0%
(APIServer pid=207979) INFO 09-11 18:59:04 [loggers.py:310] Engine 000: Avg prompt throughput: 861.2 tokens/s, Avg generation throughput: 424.1 tokens/s, Running: 23 reqs, Waiting: 35 reqs, GPU KV cache usage: 94.2%, Prefix cache hit rate: 0.0%
