--- <out-dir-9>/server_P9eg_1.log
(APIServer pid=292803) INFO 09-12 06:39:38 [loggers.py:310] Engine 000: Avg prompt throughput: 107.8 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 8 reqs, Waiting: 52 reqs, GPU KV cache usage: 29.2%, Prefix cache hit rate: 0.0%
(APIServer pid=292803) INFO 09-12 06:39:48 [loggers.py:310] Engine 000: Avg prompt throughput: 2798.2 tokens/s, Avg generation throughput: 138.5 tokens/s, Running: 27 reqs, Waiting: 33 reqs, GPU KV cache usage: 98.4%, Prefix cache hit rate: 0.0%
(APIServer pid=292803) INFO 09-12 06:39:58 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 501.7 tokens/s, Running: 25 reqs, Waiting: 33 reqs, GPU KV cache usage: 91.1%, Prefix cache hit rate: 0.0%
(APIServer pid=292803) INFO 09-12 06:40:08 [loggers.py:310] Engine 000: Avg prompt throughput: 2583.1 tokens/s, Avg generation throughput: 96.6 tokens/s, Running: 26 reqs, Waiting: 32 reqs, GPU KV cache usage: 94.8%, Prefix cache hit rate: 0.0%
(APIServer pid=292803) INFO 09-12 06:40:18 [loggers.py:310] Engine 000: Avg prompt throughput: 322.9 tokens/s, Avg generation throughput: 509.0 tokens/s, Running: 27 reqs, Waiting: 33 reqs, GPU KV cache usage: 98.4%, Prefix cache hit rate: 0.0%
(APIServer pid=292803) INFO 09-12 06:40:28 [loggers.py:310] Engine 000: Avg prompt throughput: 1829.9 tokens/s, Avg generation throughput: 158.1 tokens/s, Running: 24 reqs, Waiting: 31 reqs, GPU KV cache usage: 87.5%, Prefix cache hit rate: 0.0%
(APIServer pid=292803) INFO 09-12 06:40:38 [loggers.py:310] Engine 000: Avg prompt throughput: 1076.4 tokens/s, Avg generation throughput: 425.6 tokens/s, Running: 27 reqs, Waiting: 33 reqs, GPU KV cache usage: 98.4%, Prefix cache hit rate: 0.0%
(APIServer pid=292803) INFO 09-12 06:40:48 [loggers.py:310] Engine 000: Avg prompt throughput: 1614.6 tokens/s, Avg generation throughput: 253.8 tokens/s, Running: 27 reqs, Waiting: 23 reqs, GPU KV cache usage: 98.4%, Prefix cache hit rate: 0.0%
(APIServer pid=292803) INFO 09-12 06:40:58 [loggers.py:310] Engine 000: Avg prompt throughput: 1291.5 tokens/s, Avg generation throughput: 331.5 tokens/s, Running: 27 reqs, Waiting: 12 reqs, GPU KV cache usage: 98.4%, Prefix cache hit rate: 0.0%
(APIServer pid=292803) INFO 09-12 06:41:08 [loggers.py:310] Engine 000: Avg prompt throughput: 968.8 tokens/s, Avg generation throughput: 311.6 tokens/s, Running: 25 reqs, Waiting: 2 reqs, GPU KV cache usage: 91.1%, Prefix cache hit rate: 0.0%
(APIServer pid=292803) INFO 09-12 06:41:18 [loggers.py:310] Engine 000: Avg prompt throughput: 322.9 tokens/s, Avg generation throughput: 288.6 tokens/s, Running: 12 reqs, Waiting: 0 reqs, GPU KV cache usage: 43.8%, Prefix cache hit rate: 0.0%
(APIServer pid=292803) INFO 09-12 06:41:28 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 56.9 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=292803) INFO 09-12 06:41:38 [loggers.py:310] Engine 000: Avg prompt throughput: 861.0 tokens/s, Avg generation throughput: 1.0 tokens/s, Running: 15 reqs, Waiting: 9 reqs, GPU KV cache usage: 54.7%, Prefix cache hit rate: 0.0%
(APIServer pid=292803) INFO 09-12 06:41:48 [loggers.py:310] Engine 000: Avg prompt throughput: 1722.3 tokens/s, Avg generation throughput: 303.2 tokens/s, Running: 24 reqs, Waiting: 0 reqs, GPU KV cache usage: 87.5%, Prefix cache hit rate: 0.0%
