--- <out-dir-9>/server_P9gmu_1.log
(APIServer pid=297444) INFO 09-12 06:55:38 [loggers.py:310] Engine 000: Avg prompt throughput: 3013.7 tokens/s, Avg generation throughput: 114.4 tokens/s, Running: 28 reqs, Waiting: 32 reqs, GPU KV cache usage: 99.5%, Prefix cache hit rate: 0.0%
(APIServer pid=297444) INFO 09-12 06:55:48 [loggers.py:310] Engine 000: Avg prompt throughput: 323.0 tokens/s, Avg generation throughput: 570.4 tokens/s, Running: 26 reqs, Waiting: 31 reqs, GPU KV cache usage: 92.4%, Prefix cache hit rate: 0.0%
(APIServer pid=297444) INFO 09-12 06:55:58 [loggers.py:310] Engine 000: Avg prompt throughput: 2690.4 tokens/s, Avg generation throughput: 154.8 tokens/s, Running: 28 reqs, Waiting: 32 reqs, GPU KV cache usage: 99.5%, Prefix cache hit rate: 0.0%
(APIServer pid=297444) INFO 09-12 06:56:08 [loggers.py:310] Engine 000: Avg prompt throughput: 322.9 tokens/s, Avg generation throughput: 551.4 tokens/s, Running: 26 reqs, Waiting: 30 reqs, GPU KV cache usage: 92.4%, Prefix cache hit rate: 0.0%
(APIServer pid=297444) INFO 09-12 06:56:18 [loggers.py:310] Engine 000: Avg prompt throughput: 2690.8 tokens/s, Avg generation throughput: 182.7 tokens/s, Running: 28 reqs, Waiting: 32 reqs, GPU KV cache usage: 99.5%, Prefix cache hit rate: 0.0%
(APIServer pid=297444) INFO 09-12 06:56:28 [loggers.py:310] Engine 000: Avg prompt throughput: 645.9 tokens/s, Avg generation throughput: 532.7 tokens/s, Running: 27 reqs, Waiting: 30 reqs, GPU KV cache usage: 95.9%, Prefix cache hit rate: 0.0%
(APIServer pid=297444) INFO 09-12 06:56:38 [loggers.py:310] Engine 000: Avg prompt throughput: 2367.6 tokens/s, Avg generation throughput: 200.3 tokens/s, Running: 28 reqs, Waiting: 8 reqs, GPU KV cache usage: 99.5%, Prefix cache hit rate: 0.0%
(APIServer pid=297444) INFO 09-12 06:56:48 [loggers.py:310] Engine 000: Avg prompt throughput: 753.4 tokens/s, Avg generation throughput: 517.3 tokens/s, Running: 26 reqs, Waiting: 1 reqs, GPU KV cache usage: 92.4%, Prefix cache hit rate: 0.0%
(APIServer pid=297444) INFO 09-12 06:56:58 [loggers.py:310] Engine 000: Avg prompt throughput: 107.6 tokens/s, Avg generation throughput: 248.0 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=297444) INFO 09-12 06:57:08 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 0.0 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=297444) INFO 09-12 06:57:18 [loggers.py:310] Engine 000: Avg prompt throughput: 2583.5 tokens/s, Avg generation throughput: 157.6 tokens/s, Running: 24 reqs, Waiting: 0 reqs, GPU KV cache usage: 85.3%, Prefix cache hit rate: 0.0%
(APIServer pid=297444) INFO 09-12 06:57:28 [loggers.py:310] Engine 000: Avg prompt throughput: 753.5 tokens/s, Avg generation throughput: 445.3 tokens/s, Running: 21 reqs, Waiting: 0 reqs, GPU KV cache usage: 74.6%, Prefix cache hit rate: 0.0%
(APIServer pid=297444) INFO 09-12 06:57:38 [loggers.py:310] Engine 000: Avg prompt throughput: 1829.5 tokens/s, Avg generation throughput: 274.2 tokens/s, Running: 24 reqs, Waiting: 0 reqs, GPU KV cache usage: 85.3%, Prefix cache hit rate: 0.0%
(APIServer pid=297444) INFO 09-12 06:57:48 [loggers.py:310] Engine 000: Avg prompt throughput: 0.0 tokens/s, Avg generation throughput: 351.7 tokens/s, Running: 0 reqs, Waiting: 0 reqs, GPU KV cache usage: 0.0%, Prefix cache hit rate: 0.0%
(APIServer pid=297444) INFO 09-12 06:57:58 [loggers.py:310] Engine 000: Avg prompt throughput: 107.8 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 8 reqs, Waiting: 25 reqs, GPU KV cache usage: 28.4%, Prefix cache hit rate: 0.0%
(APIServer pid=297444) INFO 09-12 06:58:08 [loggers.py:310] Engine 000: Avg prompt throughput: 2906.1 tokens/s, Avg generation throughput: 252.7 tokens/s, Running: 28 reqs, Waiting: 32 reqs, GPU KV cache usage: 99.5%, Prefix cache hit rate: 0.0%
--- <out-dir-9>/server_P9gmu_2.log
(APIServer pid=298592) INFO 09-12 06:55:30 [loggers.py:310] Engine 000: Avg prompt throughput: 107.8 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 8 reqs, Waiting: 52 reqs, GPU KV cache usage: 28.4%, Prefix cache hit rate: 0.0%
