Generating SQLite file experiments/nsys_vllm_gpt2.sqlite from experiments/nsys_vllm_gpt2.nsys-rep
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
31.2,115402888,1260,91589.6,90209.0,6592,190721,56762.7,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (bool)0, (bool)0, cutlass::half_t, Flash_kernel_traits<(int)64, (int)64, (int)256, (int)4, cutlass::half_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(flash::Flash_fwd_params)"
22.0,81397140,432,188419.3,204241.0,8160,207937,53249.3,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (bool)0, (bool)0, cutlass::half_t, Flash_kernel_traits<(int)64, (int)64, (int)256, (int)4, cutlass::half_t>>, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(flash::Flash_fwd_params)"
16.1,59492250,24,2478843.8,2481069.0,2419437,2483918,12712.1,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<signed char>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
6.3,23406042,393,59557.4,109025.0,4512,114433,51077.0,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2_tn_align8>(T1::Params)
2.9,10792797,444,24308.1,19073.0,18272,93697,12276.0,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_tn_align8>(T1::Params)
2.4,8787534,72,122049.1,25424.5,24993,356002,139508.8,ampere_fp16_s1688gemm_fp16_256x64_ldg8_relu_f2f_stages_32x1_tn
2.2,8168877,1008,8104.0,6752.0,4896,23008,4538.5,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_128x2_tn_align8>(T1::Params)
1.8,6796005,720,9438.9,9568.0,7680,11712,942.4,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_64x2_tn_align8>(T1::Params)
1.5,5633942,336,16767.7,14144.0,13440,21728,3399.4,ampere_fp16_s16816gemm_fp16_128x64_ldg8_relu_f2f_stages_32x6_tn
1.2,4498551,12,374879.3,374818.0,374050,375681,591.9,ampere_fp16_s1688gemm_fp16_128x64_sliced1x2_ldg8_relu_f2f_tn
1.2,4454813,312,14278.2,12576.0,11296,19648,3019.6,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_32x32_64x1_tn_align8>(T1::Params)
1.2,4344543,192,22627.8,22640.0,21601,24320,832.9,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x128_32x6_tn_align8>(T1::Params)
0.9,3431897,1044,3287.3,2240.5,1152,113120,9363.6,triton_poi_fused_add_mul_pow_tanh_1
0.9,3368969,240,14037.4,14048.0,13664,14592,202.5,ampere_fp16_s16816gemm_fp16_128x64_ldg8_relu_f2f_stages_64x3_tn
0.8,2951951,1044,2827.5,2080.0,1504,69184,7014.3,triton_per_fused_add_native_layer_norm_2
